trade_date	broker_account	commission_total	currency_code	attribution_status	reason	source_document	source_reference
2026-05-04	DEFAULT	1880.85	RUB	UNATTRIBUTABLE_NO_FILLS	VERIFIED_COMMISSION_WITHOUT_PRIMARY_FILL_EVIDENCE	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-04
2026-05-05	DEFAULT	706.38	RUB	UNATTRIBUTABLE_NO_FILLS	VERIFIED_COMMISSION_WITHOUT_PRIMARY_FILL_EVIDENCE	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-05
2026-05-06	DEFAULT	1007.37	RUB	UNATTRIBUTABLE_NO_FILLS	VERIFIED_COMMISSION_WITHOUT_PRIMARY_FILL_EVIDENCE	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-06
2026-05-07	DEFAULT	881.92	RUB	UNATTRIBUTABLE_NO_FILLS	VERIFIED_COMMISSION_WITHOUT_PRIMARY_FILL_EVIDENCE	FINAM_BROKER_REPORT_2026_05	COMMISSION_2026-05-07
