evidence_id	trade_date	symbol	market	side	quantity_units	lot_size	turnover	broker_order_fee	settlement_fee	exchange_fee	other_fee	source_document	source_reference
FINAM_20260602_MTLRP_SELL	2026-06-02	MTLRP@MISX	MOEX	SELL	300	1	14400.00	41.30	4.32	0	0	Отчет_брокера_2026_06	PAGE_2_2026-06-02
FINAM_20260605_EUTR_SELL	2026-06-05	EUTR@MISX	MOEX	SELL	10	1	647.00	41.30	0.19	0	0	Отчет_брокера_2026_06	PAGE_2_2026-06-05
FINAM_20260610_SFIN_BUY	2026-06-10	SFIN@MISX	MOEX	BUY	15	1	10200.00	41.30	3.06	0	0	Отчет_брокера_2026_06	PAGE_2_2026-06-10
FINAM_20260625_SBERP_BUY	2026-06-25	SBERP@MISX	MOEX	BUY	20	10	5900.20	41.30	1.77	0	0	Отчет_брокера_2026_06	PAGE_3_2026-06-25
FINAM_20260629_OZON_SELL	2026-06-29	OZON@MISX	MOEX	SELL	2	1	6859.00	41.30	2.06	0	0	Отчет_брокера_2026_06	PAGE_3_2026-06-29
